Index [<ind>],Particle X-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Y-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Z-Coordinate X Particle ID (Study 01 - Particles) [m]
628,0.216213,-1.08242,0.330046
629,-0.418921,0.0198276,0.353406
630,-0.305598,0.0196927,0.239325
631,-0.00565099,-1.04918,-0.379922
632,-0.360837,-1.05468,0.0796895
633,-0.432203,0.0447656,0.0954314
634,0.379937,0.03215,-0.140892
635,-0.295107,0.0406968,-0.208369
636,-0.392147,-0.526109,-0.135159
637,0.254412,0.0156833,0.0227496
638,0.117802,-1.05825,-0.315359
639,-0.231546,-1.07452,-0.294027
640,0.204338,-1.06107,0.000357269
641,0.40472,-1.08455,-0.191039
642,0.255759,0.0415429,-0.345618
643,-0.112781,-1.06725,-0.1634
644,0.231429,-0.41088,0.155086
645,0.0223806,-1.05843,0.00337546
646,-0.40122,-1.05389,0.134314
647,0.0824041,-1.06501,0.19401
648,0.138596,-1.0684,-0.133595
649,0.240698,0.0153179,0.131067
650,-0.427963,-0.935939,0.153133
651,-0.317632,-0.459233,-0.196001
652,0.0482563,-1.08483,0.383057
653,-0.115954,-1.05655,0.3478
654,-0.337601,-1.08437,-0.384186
655,-0.309378,0.0195617,-0.350664
656,0.158849,-1.05887,0.314993
657,0.248575,-1.08311,0.143976
658,-0.377746,0.0175964,0.0547924
659,-0.324606,0.0436952,0.115753
660,-0.0714784,-1.05482,-0.0663673
661,-0.373817,-1.08459,0.0351447
662,0.316814,0.0433343,-0.307218
663,-0.329167,-1.08376,0.13553
664,0.256605,0.0277205,-0.119386
665,0.0225929,-1.06247,0.104277
666,-0.3206,-0.450972,0.180784
667,0.0701872,-1.08487,-0.312254
668,-0.161636,-1.08379,-0.183605
669,-0.375909,-1.08201,-0.381977
670,-0.0621053,-1.05352,0.351818
671,0.440294,0.0177659,0.0551197
672,-0.29508,0.0474626,-0.170402
673,-0.113923,-1.06783,0.271677
674,-0.196321,0.0176567,0.0179905
675,0.342526,-1.00642,-0.346121
676,0.195992,-1.05936,0.0894841
677,-0.377408,0.0156537,-0.0164626
678,0.383804,-1.08391,0.248981
679,0.114841,-1.05361,-0.271481
680,-0.352075,-1.0846,0.0130142
681,0.0108961,-1.04866,0.161987
682,-0.17154,-1.05062,0.217662
683,-0.297522,0.0452743,-0.254421
